datetime,steps,distance_m,calories,speed,date,day_of_week
2023-01-08 09:46:00.687,3.8888886,49.96,oKa26H1Zgm,880.0,2023-01-08,Sunday
2023-01-08 09:46:00.689,6.9444447,387.1001,oKa26H1Zgm,6077.801,2023-01-08,Sunday
2023-01-08 09:46:00.690,2.6111114,86.71,oKa26H1Zgm,1559.97,2023-01-08,Sunday
2023-01-08 09:46:00.691,6.9444447,93.039986,oKa26H1Zgm,1669.42,2023-01-08,Sunday
2023-01-08 09:46:00.691,3.5368292,32.95,oKa26H1Zgm,580.4,2023-01-08,Sunday
2023-01-08 09:46:00.692,2.9905586,232.26999,oKa26H1Zgm,4171.4697,2023-01-08,Sunday
2023-01-08 09:46:00.693,2.5,48.04,oKa26H1Zgm,859.52,2023-01-08,Sunday
2023-01-08 09:46:00.693,5.138889,171.20998,oKa26H1Zgm,2994.59,2023-01-08,Sunday
2023-01-08 09:46:00.693,4.3333335,264.97995,oKa26H1Zgm,4760.27,2023-01-08,Sunday
2023-01-08 09:46:00.694,6.8055553,96.07,oKa26H1Zgm,1676.38,2023-01-08,Sunday
2023-01-08 09:46:00.694,6.222139,188.24998,oKa26H1Zgm,3220.39,2023-01-08,Sunday
2023-01-08 09:46:00.694,5.341034,263.90997,oKa26H1Zgm,4758.61,2023-01-08,Sunday
2023-01-08 09:46:00.695,3.5,184.52998,oKa26H1Zgm,3268.92,2023-01-08,Sunday
2023-01-08 09:46:00.695,3.6673644,56.46,oKa26H1Zgm,966.77997,2023-01-08,Sunday
2023-01-08 09:46:00.695,3.6192393,128.42998,oKa26H1Zgm,2356.96,2023-01-08,Sunday
2023-01-08 09:46:00.696,4.1944447,246.30998,oKa26H1Zgm,4411.27,2023-01-08,Sunday
2023-01-08 09:46:00.696,3.7644393,89.94999,oKa26H1Zgm,1537.79,2023-01-08,Sunday
2023-01-08 09:46:00.696,4.055556,148.34999,oKa26H1Zgm,2561.77,2023-01-08,Sunday
2023-01-08 09:46:00.697,4.857407,78.28,oKa26H1Zgm,1378.98,2023-01-08,Sunday
2023-01-08 09:46:00.697,6.9444447,181.32997,oKa26H1Zgm,3037.29,2023-01-08,Sunday
2023-01-08 09:46:00.697,4.942501,121.11998,oKa26H1Zgm,2153.74,2023-01-08,Sunday
2023-01-08 09:46:00.698,5.3692427,526.4602,oKa26H1Zgm,7783.7607,2023-01-08,Sunday
2023-01-08 09:46:00.698,3.5,40.009995,oKa26H1Zgm,705.25,2023-01-08,Sunday
2023-01-08 09:46:00.698,5.373105,88.619995,oKa26H1Zgm,1565.14,2023-01-08,Sunday
